vehicle_id,original_timestamp
v1,2025-05-03 19:07:00
v2,2025-06-03 04:00:00
v3,2025-06-03 05:03:00
v4,2025-06-03 05:36:00
v5,2025-06-03 05:42:00
v6,2025-06-03 05:58:00
v7,2025-06-03 06:07:00
v8,2025-06-03 08:28:00
v9,2025-06-03 09:24:00
v10,2025-06-03 11:00:00
v11,2025-06-03 12:03:00
v12,2025-06-03 12:22:00
v13,2025-06-03 13:34:00
v14,2025-06-03 13:46:00
v15,2025-06-03 15:34:00
v16,2025-06-03 16:39:00
v17,2025-07-03 04:27:00
v18,2025-07-03 04:37:00
v19,2025-07-03 05:04:00
v20,2025-07-03 05:20:00
v21,2025-07-03 06:48:00
v22,2025-07-03 06:57:00
v23,2025-07-03 08:34:00
v24,2025-07-03 09:02:00
v25,2025-07-03 13:55:00
