,StartTimeStr,Velocity,GrossWeight,timedelta_minutes
2654,2025-05-03 19:07:00,88,53850,137.0
4360,2025-06-03 04:00:00,89,50390,43733.0
4763,2025-06-03 05:03:00,91,64400,63.0
5281,2025-06-03 05:36:00,87,56830,33.0
5381,2025-06-03 05:42:00,93,50450,6.0
5744,2025-06-03 05:58:00,90,59750,11.0
5965,2025-06-03 06:07:00,85,50450,9.0
10086,2025-06-03 08:28:00,88,51040,141.0
11378,2025-06-03 09:24:00,88,58460,56.0
13282,2025-06-03 11:00:00,88,54770,96.0
14471,2025-06-03 12:03:00,88,51470,63.0
14848,2025-06-03 12:22:00,86,50890,19.0
16231,2025-06-03 13:34:00,89,51610,72.0
16470,2025-06-03 13:46:00,89,51970,7.0
18838,2025-06-03 15:34:00,85,59900,108.0
20382,2025-06-03 16:39:00,79,50740,65.0
24969,2025-07-03 04:27:00,88,51600,42468.0
25029,2025-07-03 04:37:00,90,52690,10.0
25270,2025-07-03 05:04:00,83,52730,23.0
25477,2025-07-03 05:20:00,89,57350,14.0
27363,2025-07-03 06:48:00,90,51420,88.0
27619,2025-07-03 06:57:00,90,50320,9.0
30068,2025-07-03 08:34:00,91,50010,97.0
30663,2025-07-03 09:02:00,95,52570,28.0
36777,2025-07-03 13:55:00,96,59130,293.0
