sensor,mean,std,threshold_x = 3
03091002_x,1.022609,0.000802,1.025015
03091003_x,1.011147,0.000717,1.013298
03091005_x,1.005586,0.000903,1.0082950000000002
03091006_x,1.023133,0.000866,1.0257310000000002
03091007_x,1.012048,0.000994,1.01503
03091008_x,0.991411,0.000658,0.9933850000000001
0309100A_x,1.024075,0.000666,1.026073
0309100B_z,1.013239,0.000359,1.014316
0309100F_x,1.011889,0.000667,1.01389
03091010_x,0.995221,0.00072,0.9973810000000001
03091011_x,1.012904,0.000678,1.0149380000000001
03091012_x,0.997425,0.000758,0.999699
03091013_x,0.997279,0.000749,0.999526
03091014_x,1.008846,0.000738,1.0110599999999998
03091015_x,1.013013,0.00058,1.014753
03091016_z,1.022545,0.000308,1.023469
03091017_z,1.012999,0.000377,1.01413
03091018_z,1.004219,0.00032,1.005179
03091019_x,1.016262,0.000728,1.018446
0309101D_x,1.007816,0.00072,1.009976
0309101E_x,1.003024,0.000654,1.004986
0309101F_x,1.014209,0.000808,1.016633
03091021_x,1.003514,0.000534,1.0051160000000001
03091024_x,0.990341,0.000557,0.992012
03091028_z,1.021239,0.000319,1.022196
0309102A_x,1.011447,0.000569,1.0131539999999999
0309102D_x,1.010199,0.000832,1.0126950000000001
0309102E_z,0.983717,0.000386,0.984875
0309102F_x,1.007392,0.000591,1.009165
03091030_x,0.983631,0.000575,0.985356
03091031_x,1.012047,0.00067,1.014057
03091032_x,1.013725,0.000777,1.016056
03091033_x,0.995292,0.000664,0.997284
03091034_x,1.00509,0.000706,1.007208
03091035_z,0.958865,0.000309,0.959792
03091036_x,1.022982,0.000763,1.025271
03091041_x,1.009324,0.000616,1.0111720000000002
03091042_x,1.006868,0.000714,1.0090100000000002
03091043_x,0.982017,0.000737,0.984228
03091045_z,1.05768,0.000344,1.0587119999999999
03091046_x,0.99417,0.000716,0.996318
03091047_z,1.025328,0.000318,1.026282
03091048_x,0.987901,0.000704,0.990013
03091049_x,1.030538,0.000778,1.032872
030910F2_x,1.028153,0.000678,1.0301870000000002
030910F4_x,0.989426,0.000576,0.991154
030910F5_x,0.997716,0.000691,0.999789
030910F6_x,0.990443,0.000746,0.9926809999999999
030910F7_x,1.016996,0.000629,1.018883
030910F9_x,0.991186,0.000607,0.993007
030910FA_z,0.957527,0.000288,0.958391
03091110_z,1.044713,0.000284,1.045565
03091111_z,1.01581,0.000346,1.0168480000000002
03091112_x,1.014545,0.000833,1.017044
03091113_x,0.995292,0.000761,0.997575
03091114_x,1.008711,0.000633,1.01061
03091115_x,1.017709,0.000677,1.0197399999999999
03091117_z,1.017312,0.000338,1.018326
03091118_x,1.023076,0.000662,1.0250620000000001
03091119_z,1.051015,0.000337,1.0520260000000001
03091126_x,1.022055,0.000698,1.024149
03091127_z,0.953203,0.000299,0.9541000000000001
03091128_x,0.999659,0.000899,1.002356
03091129_x,0.993406,0.000722,0.995572
0309112A_x,0.99879,0.000922,1.001556
0309112F_x,1.011655,0.00079,1.014025
03091131_x,1.020542,0.000742,1.0227680000000001
03091132_x,1.006715,0.00064,1.008635
0309113F_z,1.037925,0.000373,1.039044
0309114D_x,1.018619,0.000662,1.020605
0309114E_x,1.014662,0.000826,1.01714
03091153_x,1.012659,0.000746,1.014897
03091155_z,1.044372,0.000383,1.0455210000000001
030911AE_x,1.005691,0.000683,1.0077399999999999
030911D2_x,1.020487,0.000797,1.022878
030911D3_x,0.998592,0.00063,1.000482
030911DF_z,1.030193,0.000314,1.031135
030911E0_x,1.009637,0.000679,1.011674
030911E5_x,1.006578,0.000601,1.008381
030911EC_x,0.990078,0.000837,0.992589
030911ED_x,0.985883,0.000645,0.987818
030911EE_x,1.022293,0.000852,1.024849
030911EF_x,1.00614,0.000815,1.008585
030911F1_x,0.9882,0.000747,0.990441
030911F2_x,1.013465,0.000714,1.0156070000000001
030911F3_x,0.994867,0.000778,0.9972009999999999
030911F4_x,0.996965,0.000563,0.998654
030911FF_x,1.014614,0.000715,1.016759
03091200_x,0.99048,0.000691,0.992553
03091201_x,1.018461,0.000728,1.020645
03091202_x,1.003137,0.000631,1.0050299999999999
03091203_x,1.000993,0.000884,1.0036450000000001
03091204_x,1.005989,0.000701,1.008092
03091205_x,1.004188,0.00057,1.0058980000000002
03091207_x,1.027392,0.000633,1.0292910000000002
03091208_x,1.013981,0.000563,1.01567
0309120A_z,1.034448,0.000348,1.035492
0309120B_x,1.015142,0.000644,1.017074
0309120C_x,0.996138,0.000558,0.9978119999999999
0309120D_x,1.001043,0.000608,1.002867
0309120E_x,0.996859,0.000709,0.998986
0309120F_x,1.006823,0.000831,1.009316
03091210_x,1.001221,0.000839,1.003738
03091211_x,1.033186,0.000711,1.0353189999999999
03091212_x,1.010905,0.000602,1.012711
0309123B_z,1.035224,0.000378,1.036358
