sensor_id,vertical,flexural,torsional,Base_id,SECTION,DIST_M
1,03091011_x,03091011_y,03091011_z,03091011,11BR,761.65
2,030911F1_x,030911F1_y,030911F1_z,030911F1,11BR,744.57
3,030910F5_x,030910F5_y,030910F5_z,030910F5,11BR,727.25
4,0309120A_z,0309120A_y,0309120A_x,0309120A,10BR,709.9200000000001
5,03091043_x,03091043_y,03091043_z,03091043,10BR,694.09
6,0309102D_x,0309102D_y,0309102D_z,0309102D,10BR,691.28
7,030911EE_x,030911EE_y,030911EE_z,030911EE,10BR,675.19
8,03091042_x,03091042_y,03091042_z,03091042,10BR,659.28
9,03091126_x,03091126_y,03091126_z,03091126,10BR,656.47
10,03091028_z,03091028_y,03091028_x,03091028,9BR,640.44
11,03091024_x,03091024_y,03091024_z,03091024,9BR,623.08
12,03091114_x,03091114_y,03091114_z,03091114,9BR,605.96
13,03091205_x,03091205_y,03091205_z,03091205,9BR,588.4
14,03091047_z,03091047_y,03091047_x,03091047,8BR,570.98
15,030911E0_x,030911E0_y,030911E0_z,030911E0,8BR,554.85
16,030911F2_x,030911F2_y,030911F2_z,030911F2,8BR,552.14
17,030911F3_x,030911F3_y,030911F3_z,030911F3,8BR,536.25
18,0309114D_x,0309114D_y,0309114D_z,0309114D,8BR,520.13
19,0309120B_x,0309120B_y,0309120B_z,0309120B,8BR,517.3199999999999
20,03091110_z,03091110_y,03091110_x,03091110,7BR,501.28000000000003
21,03091208_x,03091208_y,03091208_z,03091208,7BR,483.86
22,03091033_x,03091033_y,03091033_z,03091033,7BR,467.09000000000003
23,0309120C_x,0309120C_y,0309120C_z,0309120C,7BR,449.24
24,030910FA_z,030910FA_y,030910FA_z,030910FA,6BR,431.8
25,03091041_x,03091041_y,03091041_z,03091041,6BR,415.67
26,030911ED_x,030911ED_y,030911ED_z,030911ED,6BR,412.96000000000004
27,03091013_x,03091013_y,03091013_z,03091013,6BR,400.25999999999993
28,03091202_x,03091202_y,03091202_z,03091202,6BR,380.84000000000003
29,030911D3_x,030911D3_y,030911D3_z,030911D3,6BR,378.13
30,03091016_z,03091016_y,03091016_x,03091016,5BR,362.1
31,030910F4_x,030910F4_y,030910F4_z,030910F4,5BR,344.68
32,030910F2_x,030910F2_y,030910F2_z,030910F2,5BR,327.36
33,03091021_x,03091021_y,03091021_z,03091021,5BR,310.02000000000004
34,03091127_z,03091127_y,03091127_x,03091127,4BR,292.61
35,030910F7_x,030910F7_y,030910F7_z,030910F7,4BR,276.48
36,03091132_x,03091132_y,03091132_z,03091132,4BR,273.77
37,03091046_x,03091046_y,03091046_z,03091046,4BR,257.89
38,03091115_x,03091115_y,03091115_z,03091115,4BR,241.65999999999997
39,03091118_x,03091118_y,03091118_z,03091118,4BR,238.95000000000005
40,03091117_z,03091117_y,03091117_x,03091117,3BR,222.89999999999998
41,030910F9_x,030910F9_y,030910F9_z,030910F9,3BR,205.56000000000006
42,03091129_x,03091129_y,03091129_z,03091129,3BR,188.06000000000006
43,0309120D_x,0309120D_y,0309120D_z,0309120D,3BR,170.90999999999997
44,03091035_z,03091035_y,03091035_x,03091035,2BR,153.42000000000007
45,03091211_x,03091211_y,03091211_z,03091211,2BR,137.28999999999996
46,0309120E_x,0309120E_y,0309120E_z,0309120E,2BR,134.58000000000004
47,03091210_x,03091210_y,03091210_z,03091210,2BR,118.69000000000005
48,03091153_x,03091153_y,03091153_z,03091153,2BR,96.46000000000004
49,03091010_x,03091010_y,03091010_z,03091010,2BR,99.75
50,03091018_z,03091018_y,03091018_x,03091018,1BR,83.90999999999997
51,0309101E_x,0309101E_y,0309101E_z,0309101E,1BR,66.68000000000006
52,030910F6_x,030910F6_y,030910F6_z,030910F6,1BR,49.5
53,0309100F_x,0309100F_y,0309100F_z,0309100F,1BR,32.36
54,03091003_x,03091003_y,03091003_z,03091003,11BR,761.65
55,03091006_x,03091006_y,03091006_z,03091006,11BR,744.57
56,03091034_x,03091034_y,03091034_z,03091034,11BR,727.25
57,03091119_z,03091119_y,03091119_x,03091119,10BR,709.9200000000001
58,030911EC_x,030911EC_y,030911EC_z,030911EC,10BR,694.09
59,03091007_x,03091007_y,03091007_z,03091007,10BR,691.28
60,0309112A_x,0309112A_y,0309112A_z,0309112A,10BR,675.19
61,03091032_x,03091032_y,03091032_z,03091032,10BR,659.28
62,0309112F_x,0309112F_y,0309112F_z,0309112F,10BR,656.47
63,0309100B_z,0309100B_y,0309100B_x,0309100B,9BR,640.44
