sensor,mean,std,threshold_x = 3
03091002_x,1.022864,0.000778,1.025198
03091003_x,1.011282,0.000699,1.013379
03091005_x,1.005781,0.000888,1.008445
03091006_x,1.023353,0.000853,1.025912
03091007_x,1.012298,0.000973,1.0152169999999998
03091008_x,0.99157,0.000691,0.9936429999999999
0309100A_x,1.024248,0.000696,1.0263360000000001
0309100B_z,1.013272,0.00031,1.014202
0309100F_x,1.011983,0.000671,1.0139960000000001
03091010_x,0.995364,0.000709,0.997491
03091011_x,1.012962,0.00067,1.014972
03091012_x,0.997512,0.000736,0.9997199999999999
03091013_x,0.997506,0.000727,0.999687
03091014_x,1.00908,0.000794,1.011462
03091015_x,1.013119,0.000583,1.014868
03091016_z,1.022559,0.000256,1.023327
03091017_z,1.013064,0.000345,1.0140989999999999
03091018_z,1.004216,0.000265,1.005011
03091019_x,1.016388,0.000709,1.018515
0309101D_x,1.007963,0.000705,1.010078
0309101E_x,1.003146,0.000662,1.0051320000000001
0309101F_x,1.014403,0.000819,1.0168599999999999
03091021_x,1.003612,0.000526,1.00519
03091024_x,0.990453,0.000534,0.992055
03091028_z,1.021289,0.000253,1.0220479999999998
0309102A_x,1.01168,0.000559,1.0133569999999998
0309102D_x,1.010435,0.000819,1.012892
0309102E_z,0.983796,0.000329,0.984783
0309102F_x,1.007527,0.000572,1.0092430000000001
03091030_x,0.983786,0.000575,0.985511
03091031_x,1.012174,0.000653,1.014133
03091032_x,1.013903,0.000766,1.016201
03091033_x,0.995449,0.000665,0.997444
03091034_x,1.005198,0.000695,1.007283
03091035_z,0.95888,0.000258,0.959654
03091036_x,1.023064,0.000764,1.025356
03091041_x,1.009482,0.000594,1.011264
03091042_x,1.00701,0.000686,1.0090679999999999
03091043_x,0.982119,0.000718,0.984273
03091045_z,1.057743,0.000288,1.058607
03091046_x,0.994451,0.000709,0.996578
03091047_z,1.025359,0.000228,1.0260429999999998
03091048_x,0.988013,0.000773,0.990332
03091049_x,1.030847,0.000797,1.033238
030910F2_x,1.028255,0.000675,1.0302799999999999
030910F4_x,0.989536,0.000562,0.9912219999999999
030910F5_x,0.997854,0.000674,0.999876
030910F6_x,0.990552,0.00077,0.992862
030910F7_x,1.017169,0.000632,1.0190649999999999
030910F9_x,0.991289,0.000595,0.993074
030910FA_z,0.957576,0.000221,0.958239
03091110_z,1.044772,0.000245,1.045507
03091111_z,1.015842,0.000306,1.0167599999999999
03091112_x,1.014833,0.000815,1.0172780000000001
03091113_x,0.99551,0.000776,0.997838
03091114_x,1.008845,0.000638,1.010759
03091115_x,1.017891,0.000686,1.019949
03091117_z,1.017291,0.000273,1.0181099999999998
03091118_x,1.023193,0.000675,1.025218
03091119_z,1.05099,0.000289,1.051857
03091126_x,1.022162,0.000698,1.024256
03091127_z,0.953221,0.000231,0.953914
03091128_x,0.999857,0.00088,1.002497
03091129_x,0.993511,0.000748,0.9957550000000001
0309112A_x,0.998959,0.000908,1.001683
0309112F_x,1.011775,0.000784,1.014127
03091131_x,1.020669,0.000771,1.022982
03091132_x,1.006973,0.00065,1.0089229999999998
0309113F_z,1.037988,0.000313,1.038927
0309114D_x,1.018707,0.000635,1.020612
0309114E_x,1.014898,0.000799,1.017295
03091153_x,1.012865,0.000731,1.0150579999999998
03091155_z,1.044404,0.000335,1.045409
030911AE_x,1.005792,0.000691,1.007865
030911D2_x,1.020641,0.000808,1.023065
030911D3_x,0.998696,0.000607,1.000517
030911DF_z,1.030205,0.000283,1.0310540000000001
030911E0_x,1.009739,0.000654,1.011701
030911E5_x,1.006713,0.000621,1.008576
030911EC_x,0.990159,0.00083,0.992649
030911ED_x,0.986128,0.000617,0.987979
030911EE_x,1.022528,0.000819,1.024985
030911EF_x,1.006224,0.000836,1.008732
030911F1_x,0.988337,0.000744,0.990569
030911F2_x,1.013623,0.00069,1.015693
030911F3_x,0.995053,0.000744,0.997285
030911F4_x,0.997083,0.000553,0.998742
030911FF_x,1.014746,0.000717,1.016897
03091200_x,0.990567,0.000689,0.992634
03091201_x,1.018614,0.000722,1.0207799999999998
03091202_x,1.003352,0.000627,1.005233
03091203_x,1.0011,0.000902,1.0038060000000002
03091204_x,1.006079,0.000678,1.008113
03091205_x,1.004292,0.000549,1.005939
03091207_x,1.02754,0.000637,1.029451
03091208_x,1.014078,0.000538,1.015692
0309120A_z,1.034503,0.000264,1.0352949999999999
0309120B_x,1.015275,0.00063,1.0171649999999999
0309120C_x,0.996248,0.000542,0.997874
0309120D_x,1.001193,0.000603,1.003002
0309120E_x,0.997126,0.00071,0.9992559999999999
0309120F_x,1.007007,0.000812,1.009443
03091210_x,1.001366,0.000803,1.003775
03091211_x,1.033299,0.000712,1.0354349999999999
03091212_x,1.01099,0.000573,1.012709
0309123B_z,1.035241,0.000333,1.03624
